,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
142,147.222222,117.093243,93.130149,1.0,128.0,32.0,128.0,2.0,2.0,4.0,3.1,0.000169,27.044,0.611207597,3.616613
143,195.155039,98.818438,50.037569,2.0,16.0,32.0,128.0,8.0,2.0,1.0,3.6,0.000171,13.862,0.3250549431,1.9009061
144,147.222222,116.146234,91.629833,1.0,128.0,32.0,128.0,2.0,2.0,8.0,3.5,0.000129,27.144,0.456398775,3.5379750000000003
145,168.959732,76.230443,34.393286,3.0,64.0,32.0,128.0,2.0,2.0,2.0,2.6,0.000171,14.558,0.3303772839,1.9320309
146,195.155039,91.118386,42.543407,2.0,128.0,128.0,1024.0,4.0,2.0,8.0,2.6,0.000149,34.82,0.766943826,5.147274
147,147.222222,116.170456,91.668056,1.0,128.0,32.0,128.0,4.0,2.0,8.0,3.9,0.000129,32.232,0.536794929,4.161201
148,148.964497,94.284325,59.67552,1.0,512.0,32.0,1024.0,2.0,2.0,16.0,2.7,0.000171,14.735,0.3302395263,1.9312253
149,0.0,0.0,0.0,2.0,128.0,4.0,64.0,4.0,8.0,16.0,2.6,0.000169,26.174,0.501350499,2.966571
150,148.964497,107.707215,77.876571,1.0,64.0,32.0,1024.0,2.0,2.0,1.0,2.2,0.0,0.0,0.0,0.0
151,147.222222,86.543389,50.87383,1.0,2048.0,256.0,128.0,2.0,2.0,1.0,3.5,0.000169,20.064,0.3841765459999999,2.273234
152,195.155039,98.86864,50.088422,2.0,32.0,32.0,128.0,4.0,2.0,8.0,2.6,0.000171,28.454,0.5950488780000001,3.4798180000000003
153,129.102564,44.544734,15.369434,5.0,1024.0,4.0,256.0,2.0,2.0,4.0,3.8,0.000129,25.019,0.4559354069999999,3.534383
154,148.964497,115.996126,90.324215,1.0,128.0,32.0,128.0,1.0,2.0,8.0,2.5,0.000195,95.407,2.246092875,11.518425
155,195.155039,83.772455,35.960251,2.0,1024.0,32.0,256.0,2.0,2.0,8.0,3.6,0.000169,14.484,0.331232902,1.959958
156,147.222222,119.122707,96.386395,1.0,16.0,32.0,128.0,2.0,1.0,8.0,3.9,0.000129,41.327,0.635064678,4.922982
157,148.964497,101.651316,69.365454,1.0,128.0,64.0,128.0,2.0,16.0,8.0,2.5,0.000171,13.896,0.3140735283,1.8366873
158,195.155039,99.312081,50.538739,2.0,4.0,4.0,256.0,2.0,2.0,8.0,3.4,0.000169,19.177,0.4313148709999999,2.552159
159,195.155039,99.498698,50.728851,2.0,8.0,64.0,128.0,4.0,2.0,1.0,2.3,0.000129,25.011,0.4518728745,3.5028905000000004
160,148.964497,104.829913,73.771341,1.0,32.0,4.0,64.0,2.0,16.0,8.0,2.6,0.000129,23.709,0.4501794269999999,3.489763
161,195.155039,95.832861,47.059699,2.0,4.0,256.0,64.0,4.0,2.0,8.0,2.0,0.000169,17.618,0.4055552149999999,2.399735
162,147.222222,113.381858,87.320008,1.0,256.0,32.0,128.0,2.0,2.0,8.0,3.2,0.000129,26.4,0.4852790369999999,3.761853
163,148.964497,119.302972,95.547592,1.0,4.0,8.0,128.0,2.0,2.0,8.0,2.7,0.000171,15.369,0.3466836045,2.0273895
164,195.155039,100.714755,51.976428,2.0,8.0,4.0,64.0,4.0,2.0,8.0,3.6,0.000169,13.788,0.3131251265999999,1.8528114
165,195.155039,91.003349,42.436052,2.0,512.0,32.0,128.0,2.0,2.0,4.0,3.2,0.000129,23.691,0.4393738839,3.4059991
166,147.222222,120.185297,98.113623,1.0,4.0,32.0,64.0,2.0,2.0,8.0,3.9,0.000129,30.636,0.5381529119999999,4.171728
167,195.155039,100.393539,51.645414,2.0,8.0,32.0,64.0,2.0,2.0,8.0,3.6,0.000171,13.095,0.3085444656,1.8043536
168,147.222222,115.930433,91.289652,1.0,64.0,128.0,128.0,2.0,2.0,8.0,3.9,0.000129,23.61,0.4421899926,3.4278294
169,148.964497,109.368738,80.297796,1.0,64.0,512.0,128.0,2.0,2.0,2.0,2.4,0.000171,14.794,0.3316083984,1.9392304
170,195.155039,89.6232,41.15865,2.0,128.0,512.0,128.0,8.0,2.0,2.0,2.2,0.000169,16.913,0.372592441,2.204689
171,147.222222,118.901035,96.028004,1.0,64.0,32.0,64.0,2.0,2.0,8.0,3.9,0.000129,33.529,0.5548550579999999,4.301202
172,147.222222,115.824943,91.123591,1.0,64.0,128.0,128.0,2.0,2.0,8.0,3.7,0.000171,13.41,0.3152456991,1.8435421
173,116.013825,77.736449,52.088236,2.0,4.0,4.0,64.0,2.0,2.0,8.0,3.6,0.000171,14.794,0.3322127124,1.9427644
174,195.155039,99.827709,51.064894,2.0,16.0,32.0,128.0,2.0,2.0,8.0,3.9,0.000217,23.278,0.7375153177,3.3986881
175,195.155039,100.352035,51.602721,2.0,16.0,32.0,64.0,2.0,2.0,8.0,3.9,0.000129,24.5,0.4472169290999999,3.4667979
176,195.155039,97.772099,48.983534,2.0,128.0,32.0,128.0,2.0,2.0,8.0,3.6,0.000129,23.678,0.4425558366,3.4306654
177,195.155039,99.285024,50.511204,2.0,64.0,32.0,128.0,2.0,2.0,2.0,2.5,0.000129,25.675,0.4662196353,3.6141057
