,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
532,58.47953216374268,1,64,16,64,2,4,2,3.1,0.000171,12.722,1.830572
533,58.47953216374268,1,32,16,64,4,4,4,3.0,0.000171,13.194,1.8394629999999998
534,59.1715976331361,1,32,16,64,2,4,4,2.9,0.000169,12.99,1.8338649999999999
535,58.47953216374268,1,128,16,64,2,4,2,3.0,0.000171,13.037,1.878042
536,58.47953216374268,1,64,8,64,2,2,2,3.2,0.000171,12.577,1.7926215
537,77.51937984496125,2,32,8,1024,2,4,4,3.2,0.000129,32.621,3.889139
538,58.47953216374268,1,32,8,64,2,4,2,3.2,0.000171,12.552,1.8013
539,52.63157894736842,4,32,16,64,2,4,4,3.0,0.00019,45.009,6.706300000000001
540,77.51937984496125,2,32,16,1024,2,4,2,3.1,0.000129,32.758,3.910602
541,51.282051282051285,5,64,16,128,2,4,4,3.1,0.000195,56.756,8.44775
542,59.1715976331361,1,32,8,1024,2,4,4,2.9,0.000169,21.987,2.283617
543,59.1715976331361,1,32,32,512,4,4,2,2.9,0.000169,15.67,2.000707
544,58.47953216374268,1,64,32,1024,4,4,2,3.0,0.000171,22.48,2.332935
545,51.282051282051285,5,32,32,64,2,4,2,3.1,0.000195,55.724,8.358753
546,58.47953216374268,1,32,16,128,2,4,2,3.0,0.000171,13.124,1.8352160000000002
547,77.51937984496125,2,32,16,256,2,4,4,3.0,0.000129,25.186,3.538574
548,58.47953216374268,1,32,16,64,4,2,2,3.0,0.000171,12.631,1.7895709
549,51.282051282051285,5,32,32,256,2,4,4,2.9,0.000195,57.632,8.475835
